"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output"
"B-001-1","Clamp to Range","Bronze","Loops","Clamping means forcing a number to stay inside an allowed window. If the number is below the low bound it becomes the low bound; if it is above the high bound it becomes the high bound; otherwise it is left alone. Clamping 20 into the window [0, 10] gives 10.","Read N integers and clamp each one into the inclusive range [L, R]. Print the resulting N integers in order.","Line 1: N, L, R (space-separated).
Line 2: N space-separated integers.","N: 1-100
L, R: -1000 to 1000, with L <= R
values: -10000 to 10000","5 0 10
-5 3 20 7 0","0 3 10 7 0","5 0 10
-5 3 20 7 0","0 3 10 7 0","1 5 5
5","5","1 -3 3
-100","-3","6 -2 2
-2 -1 0 1 2 3","-2 -1 0 1 2 2","4 0 0
-7 0 7 1","0 0 0 0","8 -1000 1000
-10000 10000 0 999 -999 1000 -1000 1","-1000 1000 0 999 -999 1000 -1000 1","3 2 4
1 2 3","2 2 3","7 -5 -1
-6 -5 -3 -1 0 4 -10","-5 -5 -3 -1 -1 -1 -5"
"B-001-2","Residue Reduction","Bronze","Loops","The residue of a number modulo M is the remainder left after dividing by M, always reported as a value from 0 to M-1. Note that negative numbers still get a non-negative residue: -1 modulo 5 is 4, because -1 = (-1 x 5) + 4.","Read N integers and replace each one with its non-negative residue modulo M. Print the resulting sequence.","Line 1: N, M (space-separated).
Line 2: N space-separated integers.","N: 1-100
M: 1-1000
values: -10000 to 10000","5 5
7 -1 0 5 13","2 4 0 0 3","5 5
7 -1 0 5 13","2 4 0 0 3","1 1
999","0","1 7
-7","0","6 3
-6 -5 -4 -3 -2 -1","0 1 2 0 1 2","4 10
10000 -10000 0 1","0 0 0 1","3 2
-3 -2 -1","1 0 1","8 4
0 1 2 3 4 5 6 7","0 1 2 3 0 1 2 3","5 1000
-1 -999 -1000 -1001 1001","999 1 0 999 1"
"B-001-3","Truncated Quotient","Bronze","Loops","Truncating division throws away the fractional part and always rounds toward zero, never away from it. So 7 divided by 2 truncates to 3, and -7 divided by 2 truncates to -3 (not -4). This differs from the floor division used by default in some languages.","Read N integers and replace each one with the quotient of dividing it by K, truncated toward zero. Print the resulting N integers.","Line 1: N, K (space-separated).
Line 2: N space-separated integers.","N: 1-100
K: 1-1000
values: -10000 to 10000","5 2
7 -7 0 3 -3","3 -3 0 1 -1","5 2
7 -7 0 3 -3","3 -3 0 1 -1","1 1
-4242","-4242","1 5
4","0","6 3
-1 -2 -3 -4 -5 -6","0 0 -1 -1 -1 -2","4 10
9 10 11 -11","0 1 1 -1","3 1000
999 1000 -1001","0 1 -1","8 4
-8 -7 -1 0 1 7 8 9","-2 -1 0 0 0 1 2 2","5 6
-5 5 -6 6 -12","0 0 -1 1 -2"
"B-001-4","Sign Map","Bronze","Loops","The sign of a number records only its direction, not its size. Negative numbers have sign -1, zero has sign 0, and positive numbers have sign 1. So the list [-9, 0, 2] maps to [-1, 0, 1].","Read N integers and output the sign of each one (-1, 0, or 1) in the original order.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
values: -10000 to 10000","5
-9 0 2 -1 7","-1 0 1 -1 1","5
-9 0 2 -1 7","-1 0 1 -1 1","1
0","0","1
-10000","-1","3
0 0 0","0 0 0","6
-1 1 -1 1 -1 1","-1 1 -1 1 -1 1","4
10000 -10000 1 -1","1 -1 1 -1","8
5 4 3 2 1 0 -1 -2","1 1 1 1 1 0 -1 -1","2
-3 -3","-1 -1"
"B-001-5","Absolute Cap","Bronze","Loops","The absolute value of a number is its distance from zero, so it is never negative: the absolute value of -8 is 8. Capping at C means any value larger than C is replaced by C. Combining both, -8 with a cap of 5 becomes 5.","Read N integers. Replace each with its absolute value, capped at C. Print the resulting N non-negative integers.","Line 1: N, C (space-separated).
Line 2: N space-separated integers.","N: 1-100
C: 0-10000
values: -10000 to 10000","5 5
-8 3 0 -2 9","5 3 0 2 5","5 5
-8 3 0 -2 9","5 3 0 2 5","1 0
-77","0","1 10000
-10000","10000","4 1
-1 0 1 2","1 0 1 1","6 3
-3 -4 3 4 0 -2","3 3 3 3 0 2","3 100
-99 100 -101","99 100 100","8 7
-7 7 -6 6 -8 8 0 1","7 7 6 6 7 7 0 1","2 0
0 0","0 0"
"B-002-1","Reverse the Line","Bronze","Arrays","Reversing a sequence means reading it back to front, so the last item becomes first and the first becomes last. Reversing [1, 2, 3] gives [3, 2, 1]. Nothing is added or removed, only repositioned.","Read N integers and print them in reverse order.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
values: -10000 to 10000","5
1 2 3 4 5","5 4 3 2 1","5
1 2 3 4 5","5 4 3 2 1","1
42","42","2
7 7","7 7","4
-1 0 1 -2","-2 1 0 -1","6
10 20 30 40 50 60","60 50 40 30 20 10","3
0 0 1","1 0 0","8
1 1 2 2 3 3 4 4","4 4 3 3 2 2 1 1","7
-10000 10000 0 5 -5 3 -3","-3 3 -5 5 0 10000 -10000"
"B-002-2","Rotate Right","Bronze","Arrays","A right rotation slides every element K places toward the end, and anything pushed off the end wraps back around to the front. Rotating [1, 2, 3, 4] right by 1 gives [4, 1, 2, 3]. The elements keep their relative order; only their starting point shifts.","Read N integers and print the sequence after rotating it right by K positions.","Line 1: N, K (space-separated).
Line 2: N space-separated integers.","N: 1-100
K: 0 to N-1
values: -10000 to 10000","5 2
1 2 3 4 5","4 5 1 2 3","5 2
1 2 3 4 5","4 5 1 2 3","1 0
9","9","4 0
1 2 3 4","1 2 3 4","4 3
1 2 3 4","2 3 4 1","6 1
-1 -2 -3 -4 -5 -6","-6 -1 -2 -3 -4 -5","3 2
7 7 7","7 7 7","8 4
1 2 3 4 5 6 7 8","5 6 7 8 1 2 3 4","2 1
100 -100","-100 100"
"B-002-3","Shuffle the Halves","Bronze","Arrays","A riffle shuffle splits a deck into two halves and alternates cards from each. Here the first half and second half are woven together the same way: first item of half one, first item of half two, second of half one, and so on. [1, 2, 3, 4] becomes [1, 3, 2, 4].","Read N integers (N is even), split them into two equal halves, and print the two halves interleaved.","Line 1: N (always even).
Line 2: N space-separated integers.","N: 2-100, always even
values: -10000 to 10000","4
1 2 3 4","1 3 2 4","4
1 2 3 4","1 3 2 4","2
5 6","5 6","6
1 2 3 4 5 6","1 4 2 5 3 6","8
1 1 1 1 2 2 2 2","1 2 1 2 1 2 1 2","4
-1 -2 -3 -4","-1 -3 -2 -4","10
1 2 3 4 5 6 7 8 9 10","1 6 2 7 3 8 4 9 5 10","6
0 0 0 0 0 0","0 0 0 0 0 0","2
-10000 10000","-10000 10000"
"B-002-4","Evens Take the Front","Bronze","Arrays","Positions here are counted starting at 1, so the 1st, 3rd, 5th items sit at odd positions and the 2nd, 4th, 6th sit at even positions. This is about where an item sits, not whether the number itself is even. For [9, 8, 7], position 2 holds the value 8.","Read N integers. Print all elements at even positions first (in increasing position order), followed by all elements at odd positions (also in increasing position order).","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
positions are 1-based
values: -10000 to 10000","5
1 2 3 4 5","2 4 1 3 5","5
1 2 3 4 5","2 4 1 3 5","1
42","42","2
1 2","2 1","4
10 20 30 40","20 40 10 30","6
-1 -2 -3 -4 -5 -6","-2 -4 -6 -1 -3 -5","3
7 7 7","7 7 7","8
1 2 3 4 5 6 7 8","2 4 6 8 1 3 5 7","7
0 1 0 1 0 1 0","1 1 1 0 0 0 0"
"B-002-5","Swap Neighbours","Bronze","Arrays","The sequence is walked in pairs from the left: items 1 and 2 trade places, then items 3 and 4, and so on. If the count is odd there is no partner left for the final item, so it stays exactly where it is. [1, 2, 3] becomes [2, 1, 3].","Read N integers and swap each adjacent pair (1st with 2nd, 3rd with 4th, and so on). If N is odd the last element stays in place. Print the resulting sequence.","Line 1: N.
Line 2: N space-separated integers.","N: 1-100
values: -10000 to 10000","5
1 2 3 4 5","2 1 4 3 5","5
1 2 3 4 5","2 1 4 3 5","1
42","42","2
1 2","2 1","4
-1 -2 -3 -4","-2 -1 -4 -3","6
10 20 30 40 50 60","20 10 40 30 60 50","3
7 7 7","7 7 7","8
1 1 2 2 3 3 4 4","1 1 2 2 3 3 4 4","7
0 1 2 3 4 5 6","1 0 3 2 5 4 6"
