"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output"
"P-001-1","Deep Sea Logistics","Platinum","Logistics Optimization","A shipping company needs to transport a sequence of containers across the ocean. The containers are loaded onto a ship one by one in the exact order they arrive at the dock. The ship makes a fixed number of trips, and on each trip, it can carry any number of containers as long as their total weight does not exceed the ship's capacity.","Given a list of container weights in arrival order and the maximum number of trips allowed, find the minimum possible weight capacity the ship must have to complete the job within the trip limit. The ship must carry at least one container per trip unless all containers are already delivered.","Line 1: Two integers N and D, representing the number of containers and the maximum number of trips. Line 2: N space-separated integers representing the weight of each container in order.","N is between 1 and 100,000. D is between 1 and N. Each weight is between 1 and 10,000.","5 2
1 2 3 4 5","9","5 2
1 2 3 4 5","9","1 1
10","10","5 5
1 2 3 4 5","5","5 1
1 2 3 4 5","15","3 2
10 10 10","20","4 2
1 1 1 1","2","2 1
5 5","10","6 3
7 2 5 10 8 2","14"
"P-001-2","The Master Binder","Platinum","Publishing","A publisher is binding a massive series of historical documents into a set of physical volumes. To maintain the narrative flow, the documents must remain in their original chronological order. Each volume has a maximum page limit, and the publisher wants to minimize this limit while ensuring the entire series fits into a specific number of volumes.","Given the page counts of N documents in order and the maximum number of volumes K, determine the smallest possible maximum page capacity per volume required to bind all documents.","Line 1: Two integers N and K. Line 2: N space-separated integers representing the page count of each document.","N is between 1 and 200,000. K is between 1 and N. Document pages are between 1 and 10^9. The total sum of pages will not exceed 2^63 - 1.","4 3
100 200 300 400","400","4 3
100 200 300 400","400","2 2
50 50","50","3 1
10 20 30","60","5 2
1 1 1 1 10","10","6 3
10 10 10 10 10 10","20","4 2
5 1 1 5","6","3 2
100 1 100","101","1 1
999","999"
"P-001-3","Stream Buffer Optimization","Platinum","Data Streaming","A video streaming service sends data in discrete segments. To prevent lagging, segments are grouped into 'bursts'. The hardware can process a limited number of bursts per second. Each burst has a maximum data size (capacity). To optimize network stability, the service wants to find the smallest possible burst capacity that still allows all segments to be sent within the burst count limit.","Given N segment sizes in their transmission order and a maximum number of bursts M, calculate the minimum burst capacity needed.","Line 1: Two integers N and M. Line 2: N space-separated integers representing the size of each segment.","N is between 1 and 100,000. M is between 1 and N. Segment sizes are between 1 and 10^6.","6 3
4 8 2 5 1 6","12","6 3
4 8 2 5 1 6","12","2 1
5 5","10","3 3
1 1 1","1","4 2
10 20 30 40","60","5 3
10 10 10 10 10","20","2 2
100 1","100","4 2
1 5 5 1","6","1 1
5","5"
"P-001-4","Precision Assembly","Platinum","Manufacturing","An automated factory processes items on a conveyor belt. Items arrive in a fixed sequence, and each takes a specific amount of time to process. The factory operates in shifts. During one shift, the assembly line processes a contiguous block of items. The total time taken in any single shift cannot exceed the line's time-capacity.","Given the processing times for N items and a limit of S shifts, find the minimum time-capacity required for the assembly line to complete all items within the shift limit.","Line 1: Two integers N and S. Line 2: N space-separated integers representing the processing time for each item.","N is between 1 and 150,000. S is between 1 and N. Processing times are between 0 and 10^5.","7 3
1 2 1 2 1 2 1","4","7 3
1 2 1 2 1 2 1","4","3 2
5 5 5","10","5 5
10 20 30 40 50","50","4 1
1 1 1 1","4","6 2
1 1 1 1 1 10","10","2 1
0 0","0","3 2
0 10 0","10","5 2
7 7 7 7 7","21"
"P-001-5","Server Batch Processing","Platinum","Cloud Computing","A cloud provider has a queue of jobs that must be processed in the order they were submitted. Each job requires a specific amount of memory. The provider allocates a set of servers, where each server handles a contiguous sequence of jobs from the queue. All servers are configured with the same memory capacity.","Given the memory requirements of J jobs and the available count of K servers, find the minimum memory capacity each server must have to ensure all jobs are processed.","Line 1: Two integers J and K. Line 2: J space-separated integers representing the memory requirement of each job.","J is between 1 and 200,000. K is between 1 and J. Memory requirements are between 0 and 10^9.","5 2
8 2 4 10 1","14","5 2
8 2 4 10 1","14","4 4
1 2 3 4","4","3 1
100 200 300","600","6 3
5 5 5 5 5 5","10","2 2
10 20","20","5 2
1 1 1 1 1","3","4 2
10 1 1 10","12","1 1
0","0"
"P-002-1","Router Range","Platinum","Networking","You have a list of possible one-dimensional positions (integers) where routers may be mounted along a line. You must place exactly k routers at those positions. The 'minimum separation' is the smallest difference between any two chosen router coordinates. We want to make that smallest gap as large as possible. If k > n (more routers than available positions) there is no solution.","Given n candidate integer coordinates and an integer k, choose exactly k of the coordinates to maximize the minimum pairwise distance between any two chosen coordinates. If k <= 1 the minimum separation is defined to be 0. If no solution exists (k > n) output -1. Otherwise output a single integer: the maximum achievable minimum separation.","Line 1: two integers n and k
Line 2: n integers x1 x2 ... xn (space-separated positions, any order)","1 <= n <= 200000; positions xi are 32-bit signed integers (|xi| <= 1e9); 1 <= k <= 200000. Expected O(n log range) solutions.","5 3
1 2 8 4 9
","3
","5 3
1 2 8 4 9
","3
","1 1
100
","0
","5 3
0 0 0 0 0
","0
","4 2
-10 -5 0 5
","15
","3 5
1 2 3
","-1
","4 2
1 1000000000 500000000 750000000
","999999999
","6 3
1 2 4 7 8 12
","5
","7 4
0 3 4 7 10 11 15
","4
"
"P-002-2","Checkpoint Arrangement","Platinum","Logistics","You are placing exactly k checkpoints at some of the given one-dimensional positions. The goal is to maximize the minimum distance between any two checkpoints. If several placements achieve the same optimum, return the placement produced by the left-to-right greedy choice: sort positions ascending and always pick the earliest available position that preserves the required gap when building the placement for the final optimal gap.","Given n candidate coordinates and an integer k, find the maximum possible minimum separation D between k chosen coordinates. If k <= 1 define D = 0. If k > n output a single line with -1. Otherwise output two lines: first line the integer D, second line the k chosen coordinates in ascending order produced by the specified greedy tie-breaking.","Line 1: two integers n and k
Line 2: n integers x1 x2 ... xn (space-separated positions, any order)","1 <= n <= 200000; coordinates xi are integers with |xi| <= 1e9; 1 <= k <= 200000.","5 3
1 2 8 4 9
","3
1 4 8
","5 3
1 2 8 4 9
","3
1 4 8
","1 1
100
","0
100
","5 3
0 0 0 0 0
","0
0 0 0
","4 2
-10 -5 0 5
","15
-10 5
","3 5
1 2 3
","-1
","6 3
1 2 4 7 8 12
","5
1 7 12
","4 4
0 0 0 1
","0
0 0 0 1
","7 4
0 3 4 7 10 11 15
","4
0 4 10 15
"
"P-002-3","Stadium Seating Feasibility","Platinum","Scheduling","You are given candidate seat coordinates and must check whether it is possible to seat exactly k people so that every pair of seated people are at least D units apart. If k <= 1 this is always considered possible. Seats may share coordinates (duplicates).","Given n coordinates, integers k and D (D >= 0), output YES if it is possible to select exactly k of the given positions so that the minimum pairwise distance between chosen positions is at least D; otherwise output NO. If k > n output NO.","Line 1: three integers n, k and D
Line 2: n integers x1 x2 ... xn (space-separated positions, any order). D is a non-negative integer.","1 <= n <= 200000; 0 <= D <= 2e9; coordinates xi are integers with |xi| <= 1e9; 1 <= k <= 200000.","5 3 3
1 2 8 4 9
","YES
","5 3 3
1 2 8 4 9
","YES
","1 1 1
100
","YES
","5 3 1
0 0 0 0 0
","NO
","4 2 15
-10 -5 0 5
","YES
","3 5 0
1 2 3
","NO
","4 4 0
0 0 0 1
","YES
","4 2 2000000000
1 500000000 1000000000 1500000000
","NO
","7 4 4
0 3 4 7 10 11 15
","YES
"
"P-002-4","Sensor Indices","Platinum","Monitoring","Sensors can be installed only at given discrete coordinates; each candidate has a fixed original input index. You must choose exactly k candidates to maximize the minimum distance between any two chosen sensors. When coordinates tie, treat candidates with the same coordinate but different original indices separately. To make output deterministic, sort candidates by (coordinate, original index) and run the standard left-to-right greedy. Finally report the indices (1-based original positions) of the selected candidates, listed in increasing numerical order.","Given n coordinates in the order they were provided and an integer k, if k > n output -1. Otherwise compute the maximum achievable minimum distance D (if k <= 1 then D = 0). Then, using the sorted tie-breaking described, pick k coordinates that realize D and output two lines: first line D, second line the k chosen original 1-based indices in ascending numeric order.","Line 1: two integers n and k
Line 2: n integers x1 x2 ... xn (space-separated positions, in their original input order)","1 <= n <= 200000; |xi| <= 1e9; 1 <= k <= 200000.","5 3
1 2 8 4 9
","3
1 3 4
","5 3
1 2 8 4 9
","3
1 3 4
","1 1
100
","0
1
","5 3
0 0 0 0 0
","0
1 2 3
","4 2
-10 -5 0 5
","15
1 4
","3 5
1 2 3
","-1
","6 3
5 1 12 7 8 4
","5
2 3 4
","4 4
0 0 0 1
","0
1 2 3 4
","7 4
7 0 10 3 15 4 11
","4
2 3 5 6
"
"P-002-5","Lighthouse Placement","Platinum","Coastal Planning","Along a straight coast there are candidate integer mile markers where lighthouses can be built. You must build exactly k lighthouses at those markers. Maximize the minimum distance between any two lighthouses. If multiple placements achieve the same optimal minimum distance, the placement that starts furthest to the left (smallest first lighthouse coordinate) is preferred; return that first coordinate to break ties. If k > n there is no solution.","Given n mile-marker coordinates and integer k, if k > n output -1. Otherwise output two lines: first the maximum achievable minimum separation D (define D = 0 if k <= 1), second the coordinate of the first (leftmost) lighthouse for the leftmost-optimal placement described above.","Line 1: two integers n and k
Line 2: n integers x1 x2 ... xn (space-separated positions, any order)","1 <= n <= 200000; |xi| <= 1e9; 1 <= k <= 200000.","5 3
1 2 8 4 9
","3
1
","5 3
1 2 8 4 9
","3
1
","1 1
100
","0
100
","5 3
0 0 0 0 0
","0
0
","4 2
-10 -5 0 5
","15
-10
","3 5
1 2 3
","-1
","6 3
1 2 4 7 8 12
","5
1
","5 3
2 3 8 14 20
","6
2
","7 4
7 0 10 3 15 4 11
","4
0
"
