"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output","test9_input","test9_output","test10_input","test10_output","test11_input","test11_output","test12_input","test12_output"
"G-001-1","Longest Unique Substring","Gold","Strings","A substring is a contiguous run of characters inside the given string. All characters in the run must be different to be valid.","Given a string, output the length of the longest contiguous substring that contains no repeated characters.","Line 1: a single string S (lowercase letters only)","1 ≤ |S| ≤ 300000. S contains only characters 'a'–'z'. Expected O(n) solution.","abcaefb
","5","abcaefb
","5","a
","1","aaaaa
","1","abcdef
","6","abac
","3","abcbde
","4","abcabcbb
","3","pwwkew
","3","c","1","ccb","2","aaddcc","2","cbbcdcabd","4"
"G-001-2","Longest Unique ID Segment","Gold","Arrays","A contiguous segment is a sequence of array elements with consecutive indices. All IDs in the segment must be pairwise distinct.","Given n integers (IDs), find the 1-based start and end indices of the longest contiguous subarray that contains no repeated ID. If multiple segments have the same maximum length, output the one with the smallest start index.","Line 1: integer n. Line 2: n space-separated integers (the sequence).","1 ≤ n ≤ 200000. Each ID is an integer between 0 and 10^9 inclusive. Expected O(n) time and O(n) memory.","7
1 2 3 1 4 5 2
","2 6","7
1 2 3 1 4 5 2
","2 6","1
42
","1 1","5
7 7 7 7 7
","1 1","6
10 20 30 40 50 60
","1 6","6
1 2 3 1 2 3
","1 3","7
5 1 2 3 2 4 6
","1 4","8
1000000000 1 2 3 4 5 1 2
","1 6","4
2 2 3 4
","2 4","1
1","1 1","3
2 1 1","1 2","6
3 1 2 1 2 3","1 3","9
3 2 1 1 2 3 3 2 1","1 3"
"G-001-3","Earliest Longest Color Run","Gold","Hash Maps","A color run is a contiguous block of color names in the list. Names are tokens separated by spaces; a run is valid if every color in it appears at most once.","Given n color names, print the 0-based start and end indices (inclusive) of the earliest longest contiguous run that contains no repeated color.","Line 1: integer n. Line 2: n space-separated color names (each name uses only lowercase letters).","1 ≤ n ≤ 100000. Each color name is 1–10 lowercase letters. If multiple runs tie for maximum length, choose the one with the smallest start index. Expected O(n) time.","7
red blue green red yellow blue black
","2 6","7
red blue green red yellow blue black
","2 6","1
cyan
","0 0","4
red red red red
","0 0","5
a b c d e
","0 4","6
blue green red blue green red
","0 2","5
orange orange yellow green yellow
","1 3","8
one two three four five one two three
","0 4","6
a b a c d e
","1 5","1
teal","0 0","3
blue red teal","0 2","6
green blue teal green red blue","1 4","9
red red blue blue red teal teal blue teal","3 5"
"G-001-4","Max Unique Window Length (Numbers)","Gold","Two Pointers","A contiguous subarray of numbers is a run of elements with consecutive positions. The run is valid if all numbers in it are distinct.","Given an array of integers, output the maximum length of any contiguous subarray that contains all distinct values.","Line 1: integer n. Line 2: n space-separated integers.","1 ≤ n ≤ 300000. Each integer is between -10^9 and 10^9 inclusive. Expected O(n) time and O(n) extra memory.","8
-1 2 -1 3 4 2 5 3
","5","8
-1 2 -1 3 4 2 5 3
","5","1
0
","1","5
-2 -2 -2 -2 -2
","1","6
0 1 2 3 4 5
","6","6
1 2 3 1 2 3
","3","7
7 8 9 1 2 8 10
","5","8
1000000000 -1000000000 1 2 3 1000000000 4 5
","7","4
5 5 6 7
","3","1
-3","1","3
2 2 2","1","6
3 1 -2 1 -1 -3","4","9
0 -2 -3 0 3 -2 3 3 -2","4"
"G-001-5","Indices of First Longest Unique Run","Gold","Sliding Window","A run is a contiguous substring of the input string. Characters are alphanumeric (letters or digits). A run is valid if no character appears more than once inside it.","Given a string of alphanumeric characters, output two integers: the 1-based starting index and the length of the earliest longest contiguous substring that contains no repeated characters.","Line 1: a single string S of alphanumeric characters (A–Z, a–z, 0–9).","1 ≤ |S| ≤ 100000. S contains only alphanumeric characters. If multiple maximal runs tie, choose the one with the smallest 1-based start index. Expected O(n) time.","A1B2A3B4
","2 5","A1B2A3B4
","2 5","Z
","1 1","AAAAAAAA
","1 1","ABCD1234
","1 8","AAABBBCCC
","3 2","1A2B3A4
","1 5","ABABA
","1 2","123321
","1 3","A","1 1","2AA","1 2","BAA22B","1 2","1B21122B2","1 3"
"G-002-1","Minimum Substring Cover","Gold","Strings","A substring is a contiguous sequence of characters inside a string. A pattern is another string whose characters (with multiplicity) must all appear inside a substring to be considered covered.","Find the shortest substring of S that contains every character of T at least as many times as it appears in T. If multiple shortest substrings exist, return the leftmost one (smallest start index). If no such substring exists, print -1.","Line 1: string S (source). Line 2: string T (pattern). Both contain only lowercase letters.","1 ≤ |S| ≤ 200000, 1 ≤ |T| ≤ 100000. All characters are 'a'–'z'.","adobecodebanc
abc
","banc","adobecodebanc
abc
","banc","a
a
","a","a
aa
","-1","aabcbcdbca
abc
","abc","abcaabc
abc
","abc","abacbbaac
aab
","aba","abc
abc
","abc","xyz
wxyz
","-1","b
b","b","aa
cacc","-1","ca
abbcba","-1","acc
aacbbba","-1"
"G-002-2","Shortest Subarray Covering Multiset","Gold","Arrays","A contiguous subarray is a sequence of consecutive elements of an array. A required multiset lists values and may include duplicates; the subarray must contain each listed value that many times.","Output two 1-based indices L and R for the shortest contiguous subarray of A that contains every value in the multiset M with at least the multiplicity given. If multiple solutions have the same length choose the one with the smallest L. If no subarray covers M print -1.","Line 1: two integers n m (n = length of A, m = number of items in multiset M). Line 2: n integers A1 ... An. Line 3: m integers (the multiset M values; values may repeat).","1 ≤ n ≤ 200000, 1 ≤ m ≤ 100000, each array value fits signed 32-bit integer. The multiset elements are arbitrary integers and may repeat.","10 3
1 2 3 4 5 2 1 3 2 1
1 2 3
","1 3","10 3
1 2 3 4 5 2 1 3 2 1
1 2 3
","1 3","1 1
5
5
","1 1","5 1
1 2 3 4 5
6
","-1","8 3
1 2 1 2 1 3 2 1
1 2 1
","1 3","6 2
4 2 3 2 3 4
2 3
","2 3","5 2
0 -1 0 -1 0
-1 -1
","2 4","3 3
1 2 3
1 2 3
","1 3","5 3
1 1 2 1 1
1 1 1
","1 4","1 1
3
1","-1","4 2
2 1 2 3
3 3","-1","6 2
1 3 3 3 1 1
3 2","-1","8 3
2 2 3 2 2 3 3 3
2 2 2","1 4"
"G-002-3","Shopping List Window","Gold","Arrays","A shopping sequence is the list of items encountered in order; an item name is a short word. A shopping list is a multiset of required items (items may repeat).","Find the shortest contiguous range of the shopping sequence that contains every item from the shopping list with at least the required multiplicity. Output two 1-based positions (start end). If multiple shortest ranges exist print the one with smallest start. If none exists print NOT FOUND.","Line 1: two integers k n (k = number of items in the shopping list, n = length of the store sequence). Line 2: k space-separated strings (the shopping list; items may repeat). Line 3: n space-separated strings (store sequence). Item strings contain only lowercase letters and no spaces.","1 ≤ k ≤ 1000, 1 ≤ n ≤ 200000, each item string length ≤ 10. All words are lowercase letters. The shopping list items may include repeats.","2 8
banana apple
orange banana apple grape banana apple kiwi banana
","2 3","2 8
banana apple
orange banana apple grape banana apple kiwi banana
","2 3","1 1
milk
milk
","1 1","2 2
egg milk
milk bread
","NOT FOUND","3 5
apple apple banana
banana apple apple orange apple
","1 3","2 5
apple banana
x apple banana apple banana
","2 3","2 4
a b
a a a b
","3 4","2 2
bread butter
bread butter
","1 2","2 1
apple apple
apple
","NOT FOUND","1 1
banana
banana","1 1","2 4
apple apple
kiwi kiwi kiwi kiwi","NOT FOUND","2 6
kiwi apple
apple kiwi banana banana kiwi banana","1 2","3 7
kiwi banana apple
kiwi apple apple banana apple kiwi banana","4 6"
"G-002-4","Minimum A/B Cover","Gold","Strings","A substring is contiguous characters of a string that contains only the letters 'A' and 'B'. You are given required counts for 'A' and 'B' that the substring must meet or exceed.","Find the shortest substring of S that contains at least needA copies of 'A' and at least needB copies of 'B'. Output its 1-based start and end positions. If multiple shortest substrings exist return the one with smallest start. If none exists print -1.","Line 1: string S (only characters 'A' and 'B'). Line 2: two integers needA needB (required minimum counts for 'A' and 'B').","1 ≤ |S| ≤ 200000. 1 ≤ needA ≤ |S|, 1 ≤ needB ≤ |S|. S contains only 'A' and 'B'.","ABABBA
2 2
","1 4","ABABBA
2 2
","1 4","A
1 1
","-1","AAABBB
3 3
","1 6","BAAABBAB
3 2
","1 5","ABAB
1 1
","1 2","AAAA
2 1
","-1","AAAABBBB
3 3
","2 7","AB
1 1
","1 2","B
2 3","-1","ABA
3 3","-1","BBBAB
1 2","2 4","AABBAABA
1 1","2 3"
"G-002-5","Uppercase Letter Cover","Gold","Strings","A substring is a contiguous part of an uppercase-letter string. You are given a list of distinct uppercase letters and required counts for each; the substring must contain at least those counts for every listed letter.","Output the shortest substring of S that contains each required letter at least the specified number of times. If multiple shortest substrings exist choose the one with the smallest start index. If no substring meets all requirements print NONE. If a solution exists, output the substring itself.","Line 1: string S (uppercase letters A–Z). Line 2: integer t (number of distinct required letters). Next t lines: each line contains a character C and an integer k separated by a space (meaning letter C is required at least k times).","1 ≤ |S| ≤ 200000, 1 ≤ t ≤ 26, for each requirement 1 ≤ k ≤ |S|. All letters are 'A'–'Z'. Required characters in the t lines are distinct.","ABCXYZABC
3
A 1
B 1
C 1
","ABC","ABCXYZABC
3
A 1
B 1
C 1
","ABC","A
1
A 1
","A","AB
1
C 1
","NONE","AABBC
2
A 2
B 2
","AABB","ABAB
2
A 1
B 1
","AB","XYZABCYZA
2
Z 2
A 1
","ZABCYZ","ABCC
1
C 3
","NONE","AAABBBCCC
3
A 3
B 3
C 3
","AAABBBCCC","B
1
A 1","NONE","CCC
3
B 2
C 1
A 2","NONE","ABCBAB
1
A 1","A","BBBBBABAA
1
B 1","B"
