"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output","test9_input","test9_output","test10_input","test10_output","test11_input","test11_output","test12_input","test12_output"
"M-001-1","Missing and Duplicate Value","Master","Bit Manipulation","The list should contain each number from 1 through N once, but one number is missing and one different number is repeated.","Print the missing number followed by the repeated number. Follow the stated tie rule.","Line 1: N.
Line 2: N integers.","2 <= N <= 200000
values: 1 to N","2
1 1","2 1","2
1 1","2 1","4
1 2 2 4","3 2","5
2 2 3 4 5","1 2","6
1 3 3 4 5 6","2 3","5
1 2 3 4 4","5 4","7
1 2 2 3 4 5 6","7 2","5
3 1 2 5 5","4 5","6
1 1 3 4 5 6","2 1","4
2 3 1 3","4 3","5
3 4 1 1 2","5 1","7
6 7 4 5 1 7 3","2 7","2
2 2","1 2"
"M-001-2","Missing and Duplicate Value Planner","Master","Bit Manipulation","The list should contain each number from 1 through N once, but one number is missing and one different number is repeated.","Print the missing number followed by the repeated number. Print only the requested result.","Line 1: N.
Line 2: N integers.","2 <= N <= 200000
values: 1 to N","2
1 1","2 1","2
1 1","2 1","4
1 2 2 4","3 2","5
2 2 3 4 5","1 2","6
1 3 3 4 5 6","2 3","5
1 2 3 4 4","5 4","7
1 2 2 3 4 5 6","7 2","5
3 1 2 5 5","4 5","6
1 1 3 4 5 6","2 1","4
1 3 3 4","2 3","5
3 5 5 1 4","2 5","7
6 5 4 7 1 2 2","3 2","4
3 4 3 2","1 3"
"M-001-3","Missing and Duplicate Value Checkpoint","Master","Bit Manipulation","The list should contain each number from 1 through N once, but one number is missing and one different number is repeated.","Print the missing number followed by the repeated number. Treat every input independently.","Line 1: N.
Line 2: N integers.","2 <= N <= 200000
values: 1 to N","2
1 1","2 1","2
1 1","2 1","4
1 2 2 4","3 2","5
2 2 3 4 5","1 2","6
1 3 3 4 5 6","2 3","5
1 2 3 4 4","5 4","7
1 2 2 3 4 5 6","7 2","5
3 1 2 5 5","4 5","6
1 1 3 4 5 6","2 1","4
1 4 3 4","2 4","5
2 5 4 1 4","3 4","7
4 3 6 1 2 1 5","7 1","4
4 3 4 2","1 4"
"M-001-4","Missing and Duplicate Value Tracker","Master","Bit Manipulation","The list should contain each number from 1 through N once, but one number is missing and one different number is repeated.","Print the missing number followed by the repeated number. Keep the format unchanged.","Line 1: N.
Line 2: N integers.","2 <= N <= 200000
values: 1 to N","2
1 1","2 1","2
1 1","2 1","4
1 2 2 4","3 2","5
2 2 3 4 5","1 2","6
1 3 3 4 5 6","2 3","5
1 2 3 4 4","5 4","7
1 2 2 3 4 5 6","7 2","5
3 1 2 5 5","4 5","6
1 1 3 4 5 6","2 1","2
2 2","1 2","4
2 2 3 1","4 2","5
3 2 5 5 4","1 5","7
2 4 7 4 3 6 5","1 4"
"M-001-5","Missing and Duplicate Value Verifier","Master","Bit Manipulation","The list should contain each number from 1 through N once, but one number is missing and one different number is repeated.","Print the missing number followed by the repeated number. Use the same definition throughout.","Line 1: N.
Line 2: N integers.","2 <= N <= 200000
values: 1 to N","2
1 1","2 1","2
1 1","2 1","4
1 2 2 4","3 2","5
2 2 3 4 5","1 2","6
1 3 3 4 5 6","2 3","5
1 2 3 4 4","5 4","7
1 2 2 3 4 5 6","7 2","5
3 1 2 5 5","4 5","6
1 1 3 4 5 6","2 1","2
2 2","1 2","4
1 3 3 2","4 3","5
3 5 2 2 4","1 2","7
4 3 5 7 2 3 6","1 3"
"M-002-1","Maximum Subarray XOR","Master","Bit Manipulation","XOR compares bits and cancels equal contributions. A subarray is a non-empty consecutive segment.","Print the largest XOR value of any subarray. Follow the stated tie rule.","Line 1: N.
Line 2: N non-negative integers.","1 <= N <= 200000
values: 0 to 2^30-1","1
1","1","1
1","1","2
1 2","3","6
3 10 5 25 2 8","31","2
0 0","0","4
8 1 2 12","15","3
7 7 7","7","4
5 1 9 3","14","4
2 4 8 16","30","1
3","3","2
23 16","23","4
1 6 14 20","29","6
4 0 2 24 7 18","31"
"M-002-2","Maximum Subarray XOR Planner","Master","Bit Manipulation","XOR compares bits and cancels equal contributions. A subarray is a non-empty consecutive segment.","Print the largest XOR value of any subarray. Print only the requested result.","Line 1: N.
Line 2: N non-negative integers.","1 <= N <= 200000
values: 0 to 2^30-1","1
1","1","1
1","1","2
1 2","3","6
3 10 5 25 2 8","31","2
0 0","0","4
8 1 2 12","15","3
7 7 7","7","4
5 1 9 3","14","4
2 4 8 16","30","1
8","8","2
6 24","30","4
19 28 21 23","30","6
10 2 2 19 4 12","29"
"M-002-3","Maximum Subarray XOR Checkpoint","Master","Bit Manipulation","XOR compares bits and cancels equal contributions. A subarray is a non-empty consecutive segment.","Print the largest XOR value of any subarray. Treat every input independently.","Line 1: N.
Line 2: N non-negative integers.","1 <= N <= 200000
values: 0 to 2^30-1","1
1","1","1
1","1","2
1 2","3","6
3 10 5 25 2 8","31","2
0 0","0","4
8 1 2 12","15","3
7 7 7","7","4
5 1 9 3","14","4
2 4 8 16","30","1
19","19","2
25 0","25","4
8 13 19 4","30","6
21 28 18 31 0 18","31"
"M-002-4","Maximum Subarray XOR Tracker","Master","Bit Manipulation","XOR compares bits and cancels equal contributions. A subarray is a non-empty consecutive segment.","Print the largest XOR value of any subarray. Keep the format unchanged.","Line 1: N.
Line 2: N non-negative integers.","1 <= N <= 200000
values: 0 to 2^30-1","1
1","1","1
1","1","2
1 2","3","6
3 10 5 25 2 8","31","2
0 0","0","4
8 1 2 12","15","3
7 7 7","7","4
5 1 9 3","14","4
2 4 8 16","30","1
15","15","2
10 9","10","4
6 15 14 21","27","6
15 3 12 13 3 1","15"
"M-002-5","Maximum Subarray XOR Verifier","Master","Bit Manipulation","XOR compares bits and cancels equal contributions. A subarray is a non-empty consecutive segment.","Print the largest XOR value of any subarray. Use the same definition throughout.","Line 1: N.
Line 2: N non-negative integers.","1 <= N <= 200000
values: 0 to 2^30-1","1
1","1","1
1","1","2
1 2","3","6
3 10 5 25 2 8","31","2
0 0","0","4
8 1 2 12","15","3
7 7 7","7","4
5 1 9 3","14","4
2 4 8 16","30","1
31","31","2
11 29","29","4
21 29 19 23","29","6
6 6 26 25 16 21","28"
