"id","name","division","category","background","task","input_format","constraints","sample_input","sample_output","test1_input","test1_output","test2_input","test2_output","test3_input","test3_output","test4_input","test4_output","test5_input","test5_output","test6_input","test6_output","test7_input","test7_output","test8_input","test8_output","test9_input","test9_output","test10_input","test10_output","test11_input","test11_output","test12_input","test12_output"
"D-001-1","Discounted Route Cost","Diamond","Dijkstra","A directed edge has a nonnegative travel cost. You may use one half-price coupon on at most one edge; half-price means integer floor division by two.","Print the minimum cost from node 1 to node N, or -1 if unreachable. Follow every stated tie rule.","Line 1: N M.
Next M lines: from to cost.","2 <= N <= 200000
0 <= M <= 300000
cost: 0 to 10^9","2 1
1 2 5","2","2 1
1 2 5","2","3 3
1 2 10
2 3 10
1 3 25","12","3 2
1 2 1
2 3 100","51","4 4
1 2 5
2 4 5
1 3 8
3 4 1","5","2 0
","-1","4 3
1 2 4
2 3 4
3 4 4","10","3 3
1 2 7
2 3 7
1 3 20","10","4 4
1 2 100
1 3 1
3 4 100
2 4 1","51","2 2
1 1 2
2 2 1","-1","3 2
3 3 5
1 2 1","-1","4 3
2 4 7
4 3 3
4 2 4","-1","6 1
6 1 0","-1"
"D-001-2","Discounted Route Cost Planner","Diamond","Dijkstra","A directed edge has a nonnegative travel cost. You may use one half-price coupon on at most one edge; half-price means integer floor division by two.","Print the minimum cost from node 1 to node N, or -1 if unreachable. Print only the required result.","Line 1: N M.
Next M lines: from to cost.","2 <= N <= 200000
0 <= M <= 300000
cost: 0 to 10^9","2 1
1 2 5","2","2 1
1 2 5","2","3 3
1 2 10
2 3 10
1 3 25","12","3 2
1 2 1
2 3 100","51","4 4
1 2 5
2 4 5
1 3 8
3 4 1","5","2 0
","-1","4 3
1 2 4
2 3 4
3 4 4","10","3 3
1 2 7
2 3 7
1 3 20","10","4 4
1 2 100
1 3 1
3 4 100
2 4 1","51","2 2
2 2 7
2 1 2","-1","3 3
3 2 6
1 2 1
2 2 7","-1","4 5
1 1 5
1 3 4
2 3 3
4 4 4
3 4 8","8","6 1
3 6 5","-1"
"D-001-3","Discounted Route Cost Checkpoint","Diamond","Dijkstra","A directed edge has a nonnegative travel cost. You may use one half-price coupon on at most one edge; half-price means integer floor division by two.","Print the minimum cost from node 1 to node N, or -1 if unreachable. Treat each input as one independent scenario.","Line 1: N M.
Next M lines: from to cost.","2 <= N <= 200000
0 <= M <= 300000
cost: 0 to 10^9","2 1
1 2 5","2","2 1
1 2 5","2","3 3
1 2 10
2 3 10
1 3 25","12","3 2
1 2 1
2 3 100","51","4 4
1 2 5
2 4 5
1 3 8
3 4 1","5","2 0
","-1","4 3
1 2 4
2 3 4
3 4 4","10","3 3
1 2 7
2 3 7
1 3 20","10","4 4
1 2 100
1 3 1
3 4 100
2 4 1","51","2 4
1 1 7
1 1 5
2 1 7
1 1 1","-1","3 4
3 3 7
3 3 2
1 2 9
2 2 4","-1","4 5
1 4 9
2 4 2
1 1 1
3 2 0
2 2 1","4","6 4
6 6 6
3 4 9
4 3 6
4 1 0","-1"
"D-001-4","Discounted Route Cost Tracker","Diamond","Dijkstra","A directed edge has a nonnegative travel cost. You may use one half-price coupon on at most one edge; half-price means integer floor division by two.","Print the minimum cost from node 1 to node N, or -1 if unreachable. Keep the input and output format exact.","Line 1: N M.
Next M lines: from to cost.","2 <= N <= 200000
0 <= M <= 300000
cost: 0 to 10^9","2 1
1 2 5","2","2 1
1 2 5","2","3 3
1 2 10
2 3 10
1 3 25","12","3 2
1 2 1
2 3 100","51","4 4
1 2 5
2 4 5
1 3 8
3 4 1","5","2 0
","-1","4 3
1 2 4
2 3 4
3 4 4","10","3 3
1 2 7
2 3 7
1 3 20","10","4 4
1 2 100
1 3 1
3 4 100
2 4 1","51","3 5
3 2 9
2 3 4
2 1 3
2 3 5
2 1 1","-1","4 5
2 4 6
1 2 4
4 1 3
2 2 1
3 1 9","7","6 4
5 3 6
1 3 6
6 3 2
2 2 9","-1","2 1
1 1 5","-1"
"D-001-5","Discounted Route Cost Verifier","Diamond","Dijkstra","A directed edge has a nonnegative travel cost. You may use one half-price coupon on at most one edge; half-price means integer floor division by two.","Print the minimum cost from node 1 to node N, or -1 if unreachable. Use the same definition for all tests.","Line 1: N M.
Next M lines: from to cost.","2 <= N <= 200000
0 <= M <= 300000
cost: 0 to 10^9","2 1
1 2 5","2","2 1
1 2 5","2","3 3
1 2 10
2 3 10
1 3 25","12","3 2
1 2 1
2 3 100","51","4 4
1 2 5
2 4 5
1 3 8
3 4 1","5","2 0
","-1","4 3
1 2 4
2 3 4
3 4 4","10","3 3
1 2 7
2 3 7
1 3 20","10","4 4
1 2 100
1 3 1
3 4 100
2 4 1","51","2 4
2 1 8
1 1 2
1 1 3
2 2 5","-1","3 3
1 3 8
1 3 5
1 3 3","1","4 0","-1","6 4
2 5 1
1 5 9
4 3 3
3 5 8","-1"
"D-002-1","Limited-Hop Cheapest Route","Diamond","Graphs","A route may use no more than K directed edges. Costs add across the edges used.","Print the least cost from node 1 to node N using at most K edges, or -1 if impossible. Follow every stated tie rule.","Line 1: N M K.
Next M lines: from to cost.","2 <= N <= 200
0 <= M <= 5000
0 <= K <= 50
cost: 0 to 10^9","2 1 1
1 2 5","5","2 1 1
1 2 5","5","3 3 1
1 2 5
2 3 5
1 3 20","20","3 3 2
1 2 5
2 3 5
1 3 20","10","4 3 2
1 2 1
2 3 1
3 4 1","-1","2 0 3
","-1","4 4 3
1 2 10
1 3 1
3 2 1
2 4 1","3","3 4 2
1 2 100
1 3 5
3 2 5
2 3 1","5","4 3 1
1 4 50
1 2 20
2 4 20","50","2 1 3
1 2 9","9","3 0 0","-1","4 1 4
4 4 3","-1","6 4 3
5 3 0
1 3 7
5 6 2
4 6 8","-1"
"D-002-2","Limited-Hop Cheapest Route Planner","Diamond","Graphs","A route may use no more than K directed edges. Costs add across the edges used.","Print the least cost from node 1 to node N using at most K edges, or -1 if impossible. Print only the required result.","Line 1: N M K.
Next M lines: from to cost.","2 <= N <= 200
0 <= M <= 5000
0 <= K <= 50
cost: 0 to 10^9","2 1 1
1 2 5","5","2 1 1
1 2 5","5","3 3 1
1 2 5
2 3 5
1 3 20","20","3 3 2
1 2 5
2 3 5
1 3 20","10","4 3 2
1 2 1
2 3 1
3 4 1","-1","2 0 3
","-1","4 4 3
1 2 10
1 3 1
3 2 1
2 4 1","3","3 4 2
1 2 100
1 3 5
3 2 5
2 3 1","5","4 3 1
1 4 50
1 2 20
2 4 20","50","2 1 1
2 1 3","-1","3 5 1
3 2 8
3 2 1
3 1 0
3 2 9
3 3 8","-1","4 3 2
2 3 5
4 2 9
4 2 4","-1","6 0 0","-1"
"D-002-3","Limited-Hop Cheapest Route Checkpoint","Diamond","Graphs","A route may use no more than K directed edges. Costs add across the edges used.","Print the least cost from node 1 to node N using at most K edges, or -1 if impossible. Treat each input as one independent scenario.","Line 1: N M K.
Next M lines: from to cost.","2 <= N <= 200
0 <= M <= 5000
0 <= K <= 50
cost: 0 to 10^9","2 1 1
1 2 5","5","2 1 1
1 2 5","5","3 3 1
1 2 5
2 3 5
1 3 20","20","3 3 2
1 2 5
2 3 5
1 3 20","10","4 3 2
1 2 1
2 3 1
3 4 1","-1","2 0 3
","-1","4 4 3
1 2 10
1 3 1
3 2 1
2 4 1","3","3 4 2
1 2 100
1 3 5
3 2 5
2 3 1","5","4 3 1
1 4 50
1 2 20
2 4 20","50","2 3 4
2 1 7
1 1 6
2 1 0","-1","3 4 3
2 1 2
3 2 6
2 2 4
2 2 8","-1","4 1 0
3 4 8","-1","6 2 0
2 1 3
6 4 4","-1"
"D-002-4","Limited-Hop Cheapest Route Tracker","Diamond","Graphs","A route may use no more than K directed edges. Costs add across the edges used.","Print the least cost from node 1 to node N using at most K edges, or -1 if impossible. Keep the input and output format exact.","Line 1: N M K.
Next M lines: from to cost.","2 <= N <= 200
0 <= M <= 5000
0 <= K <= 50
cost: 0 to 10^9","2 1 1
1 2 5","5","2 1 1
1 2 5","5","3 3 1
1 2 5
2 3 5
1 3 20","20","3 3 2
1 2 5
2 3 5
1 3 20","10","4 3 2
1 2 1
2 3 1
3 4 1","-1","2 0 3
","-1","4 4 3
1 2 10
1 3 1
3 2 1
2 4 1","3","3 4 2
1 2 100
1 3 5
3 2 5
2 3 1","5","4 3 1
1 4 50
1 2 20
2 4 20","50","2 0 2","-1","3 1 0
1 3 8","-1","4 5 0
1 2 9
3 1 8
2 1 1
4 2 7
1 4 9","-1","6 2 0
6 3 2
3 1 3","-1"
"D-002-5","Limited-Hop Cheapest Route Verifier","Diamond","Graphs","A route may use no more than K directed edges. Costs add across the edges used.","Print the least cost from node 1 to node N using at most K edges, or -1 if impossible. Use the same definition for all tests.","Line 1: N M K.
Next M lines: from to cost.","2 <= N <= 200
0 <= M <= 5000
0 <= K <= 50
cost: 0 to 10^9","2 1 1
1 2 5","5","2 1 1
1 2 5","5","3 3 1
1 2 5
2 3 5
1 3 20","20","3 3 2
1 2 5
2 3 5
1 3 20","10","4 3 2
1 2 1
2 3 1
3 4 1","-1","2 0 3
","-1","4 4 3
1 2 10
1 3 1
3 2 1
2 4 1","3","3 4 2
1 2 100
1 3 5
3 2 5
2 3 1","5","4 3 1
1 4 50
1 2 20
2 4 20","50","2 0 0","-1","3 2 4
2 3 3
3 3 5","-1","4 3 1
3 2 5
3 2 2
1 4 7","7","6 1 2
4 5 1","-1"
